14620103 STRUKTUR DATA DAN ALGORITMA,Semester 2,A,12,algorithm.png
14620183 PENGEMBANGAN APLIKASI WEB,Semester 4,A,12,web.png
14620074 PEMROGRAMAN BERORIENTASI OBJEK FUNGSIONAL,Semester 2,A,16,computer.png
14620123 INTERAKSI MANUSIA KOMPUTER,Semester 3,A,12,human-computer-interaction.png
14620352 BAHASA INGGRIS,Semester 4,A,8,english.png
14620194 KECERDASAN KOMPUTASIONAL,Semester 4,A-,15,deep-learning.png
14620204 GRAFIKA KOMPUTER,Semester 4,A-,15,illustration.png
14620213 ENTREPRENEURSHIP,Semester 3,AB,10.5,entrepreneurship.png
14620144 MANAJEMEN BASIS DATA,Semester 3,B+,13,database-management.png
14620133 KECERDASAN ARTIFISIAL,Semester 3,B-,8.25,artificial-intelligence.png
